"","PCs","Accuracy","Sensitivity","Specificity","MRD_best_cut","P_value","adj_P_value_BH","adj_P_value_bonferroni"
"100","1, 3, 4, 6, 10",20,9,11,0.00216871496209846,0.000221141088014154,0.00136281525926795,0.226227333038479
"101","1, 4, 6, 7, 8, 10",20,9,11,0.00209395343761431,0.000221141088014154,0.00136281525926795,0.226227333038479
"102","2, 3, 5, 7, 8, 9, 10",20,9,11,0.00209048465464912,0.000221141088014154,0.00136281525926795,0.226227333038479
"103","2, 5, 6, 8, 10",20,9,11,0.00207923567483493,0.000221141088014154,0.00136281525926795,0.226227333038479
"104","1, 3, 4, 5, 7, 10",20,9,11,0.00202469807495804,0.000221141088014154,0.00136281525926795,0.226227333038479
"105","1, 3, 4, 5, 6, 10",20,9,11,0.00198015735678115,0.000221141088014154,0.00136281525926795,0.226227333038479
"106","1, 4, 6, 10",20,9,11,0.00195815625597196,0.000221141088014154,0.00136281525926795,0.226227333038479
"107","1, 3, 5, 7, 8, 10",20,9,11,0.00195761928388459,0.000221141088014154,0.00136281525926795,0.226227333038479
"108","1, 2, 5, 6, 8, 10",20,9,11,0.00194392106363252,0.000221141088014154,0.00136281525926795,0.226227333038479
"109","2, 3, 4, 5, 8, 9, 10",20,9,11,0.00188957792307102,0.000221141088014154,0.00136281525926795,0.226227333038479
"110","1, 3, 5, 7, 10",20,9,11,0.00184769789922957,0.000221141088014154,0.00136281525926795,0.226227333038479
"111","3, 4, 5, 8, 9, 10",20,9,11,0.00184206876671434,0.000221141088014154,0.00136281525926795,0.226227333038479
"112","3, 4, 6, 10",20,9,11,0.00184039094857769,0.000221141088014154,0.00136281525926795,0.226227333038479
"113","1, 2, 5, 7, 8, 9, 10",20,9,11,0.00177044739001996,0.000221141088014154,0.00136281525926795,0.226227333038479
"114","1, 2, 3, 4, 5, 7, 10",20,9,11,0.00175986051450867,0.000221141088014154,0.00136281525926795,0.226227333038479
"115","4, 5, 8, 10",20,9,11,0.00174462329048621,0.000221141088014154,0.00136281525926795,0.226227333038479
"116","4, 5, 8, 9, 10",20,9,11,0.00171732998832684,0.000221141088014154,0.00136281525926795,0.226227333038479
"117","2, 5, 7, 10",20,9,11,0.00171689310847092,0.000221141088014154,0.00136281525926795,0.226227333038479
"118","2, 4, 6, 7, 8, 10",20,9,11,0.00168428907113018,0.000221141088014154,0.00136281525926795,0.226227333038479
"119","1, 2, 3, 5, 7, 8, 10",20,9,11,0.00167834746799657,0.000221141088014154,0.00136281525926795,0.226227333038479
"120","1, 2, 3, 5, 7, 8, 9, 10",20,9,11,0.00166102282131551,0.000221141088014154,0.00136281525926795,0.226227333038479
"121","2, 4, 5, 8, 9, 10",20,9,11,0.00164742131577648,0.000221141088014154,0.00136281525926795,0.226227333038479
"122","1, 4, 5, 6, 7, 8, 10",20,9,11,0.0016364098640307,0.000221141088014154,0.00136281525926795,0.226227333038479
"123","3, 4, 5, 6, 7, 8, 10",20,9,11,0.00154953112173322,0.000221141088014154,0.00136281525926795,0.226227333038479
"124","1, 4, 5, 6, 10",20,9,11,0.0015447021110233,0.000221141088014154,0.00136281525926795,0.226227333038479
"125","1, 3, 4, 6, 7, 8, 10",20,9,11,0.00152601206954058,0.000221141088014154,0.00136281525926795,0.226227333038479
"126","2, 5, 8, 9, 10",20,9,11,0.00152442423847635,0.000221141088014154,0.00136281525926795,0.226227333038479
"127","2, 6, 8, 10",20,9,11,0.00147994078954899,0.000221141088014154,0.00136281525926795,0.226227333038479
"128","1, 4, 5, 7, 10",20,9,11,0.00146052483414883,0.000221141088014154,0.00136281525926795,0.226227333038479
"129","1, 2, 4, 6, 7, 8, 10",20,9,11,0.00145092035869502,0.000221141088014154,0.00136281525926795,0.226227333038479
"130","1, 2, 3, 5, 8, 9, 10",20,9,11,0.00144572382010737,0.000221141088014154,0.00136281525926795,0.226227333038479
"131","1, 3, 5, 8, 9, 10",20,9,11,0.00143980928256756,0.000221141088014154,0.00136281525926795,0.226227333038479
"132","2, 4, 5, 8, 10",20,9,11,0.00143768433423219,0.000221141088014154,0.00136281525926795,0.226227333038479
"133","4, 5, 6, 10",20,9,11,0.00143419475658962,0.000221141088014154,0.00136281525926795,0.226227333038479
"134","2, 3, 4, 5, 6, 10",20,9,11,0.00137433310125556,0.000221141088014154,0.00136281525926795,0.226227333038479
"135","1, 6, 8, 10",20,9,11,0.00136286575526267,0.000221141088014154,0.00136281525926795,0.226227333038479
"136","1, 3, 4, 5, 6, 7, 8, 10",20,9,11,0.00135818575225853,0.000221141088014154,0.00136281525926795,0.226227333038479
"137","1, 3, 5, 7, 8, 9, 10",20,9,11,0.00135763969433317,0.000221141088014154,0.00136281525926795,0.226227333038479
"138","2, 3, 4, 6, 7, 8, 10",20,9,11,0.00134341016133289,0.000221141088014154,0.00136281525926795,0.226227333038479
"139","3, 4, 5, 7, 10",20,9,11,0.00127047835229121,0.000221141088014154,0.00136281525926795,0.226227333038479
